Time Steps used : 2000

StockPrice , OptionPrice, IntrinsicValue
30 , 1.86474e-09 , 0
31 , 5.23568e-09 , 0
32 , 1.40594e-08 , 0
33 , 3.53401e-08 , 0
34 , 8.56076e-08 , 0
35 , 1.96732e-07 , 0
36 , 4.3258e-07 , 0
37 , 9.14817e-07 , 0
38 , 1.86673e-06 , 0
39 , 3.68272e-06 , 0
40 , 7.03193e-06 , 0
41 , 1.30008e-05 , 0
42 , 2.3267e-05 , 0
43 , 4.09029e-05 , 0
44 , 6.9719e-05 , 0
45 , 0.000116207 , 0
46 , 0.00018917 , 0
47 , 0.000302127 , 0
48 , 0.000470838 , 0
49 , 0.000723658 , 0
50 , 0.00109098 , 0
51 , 0.00161433 , 0
52 , 0.00234896 , 0
53 , 0.00336731 , 0
54 , 0.00476645 , 0
55 , 0.00665002 , 0
56 , 0.00915291 , 0
57 , 0.0124371 , 0
58 , 0.0166939 , 0
59 , 0.0221458 , 0
60 , 0.0291049 , 0
61 , 0.0378538 , 0
62 , 0.0487267 , 0
63 , 0.0620927 , 0
64 , 0.0783469 , 0
65 , 0.0981248 , 0
66 , 0.121935 , 0
67 , 0.150142 , 0
68 , 0.183474 , 0
69 , 0.222862 , 0
70 , 0.26839 , 0
71 , 0.321464 , 0
72 , 0.382368 , 0
73 , 0.451924 , 0
74 , 0.531283 , 0
75 , 0.620611 , 0
76 , 0.721525 , 0
77 , 0.834049 , 0
78 , 0.959478 , 0
79 , 1.09864 , 0
80 , 1.25124 , 0
81 , 1.42035 , 0
82 , 1.60403 , 0
83 , 1.80448 , 0
84 , 2.02256 , 0
85 , 2.25717 , 0
86 , 2.51036 , 0
87 , 2.78299 , 0
88 , 3.07372 , 0
89 , 3.38296 , 0
90 , 3.71387 , 0
91 , 4.06429 , 0
92 , 4.43411 , 0
93 , 4.82351 , 0
94 , 5.23378 , 0
95 , 5.66534 , 0
96 , 6.11661 , 0
97 , 6.58756 , 0
98 , 7.07809 , 0
99 , 7.58806 , 0
100 , 8.11728 , 0
101 , 8.66724 , 1
102 , 9.23579 , 2
103 , 9.8226 , 3
104 , 10.4273 , 4
105 , 11.0496 , 5
106 , 11.689 , 6
107 , 12.345 , 7
108 , 13.0173 , 8
109 , 13.7053 , 9
110 , 14.4086 , 10
111 , 15.1266 , 11
112 , 15.8589 , 12
113 , 16.6048 , 13
114 , 17.364 , 14
115 , 18.1358 , 15
116 , 18.9198 , 16
117 , 19.7155 , 17
118 , 20.5222 , 18
119 , 21.3397 , 19
120 , 22.1673 , 20
121 , 23.0047 , 21
122 , 23.8513 , 22
123 , 24.7067 , 23
124 , 25.5705 , 24
125 , 26.4428 , 25
126 , 27.3231 , 26
127 , 28.2106 , 27
128 , 29.1049 , 28
129 , 30.0058 , 29
130 , 30.9128 , 30
131 , 31.8258 , 31
132 , 32.7444 , 32
133 , 33.669 , 33
134 , 34.5988 , 34
135 , 35.5334 , 35
136 , 36.4726 , 36
137 , 37.4163 , 37
138 , 38.3641 , 38
139 , 39.3165 , 39
140 , 40.2728 , 40
141 , 41.2328 , 41
142 , 42.1962 , 42
143 , 43.1631 , 43
144 , 44.1337 , 44
145 , 45.1074 , 45
146 , 46.0842 , 46
147 , 47.0639 , 47
148 , 48.0466 , 48
149 , 49.0323 , 49
150 , 50.0205 , 50
151 , 51.0115 , 51
152 , 52.0051 , 52
153 , 53.0012 , 53
154 , 54 , 54
155 , 55 , 55
156 , 56 , 56
157 , 57 , 57
158 , 58 , 58
159 , 59 , 59
160 , 60 , 60
161 , 61 , 61
162 , 62 , 62
163 , 63 , 63
164 , 64 , 64
165 , 65 , 65
166 , 66 , 66
167 , 67 , 67
168 , 68 , 68
169 , 69 , 69
170 , 70 , 70
